[2026-07-20 16:07:50.156] [DEBUG] [Game] Game: draw | moves=81 | defense=15 | winner=Draw
[2026-07-20 16:07:50.214] [DEBUG] [Game] Game: ai2_win | moves=26 | defense=5 | winner=AI2
[2026-07-20 16:07:50.318] [DEBUG] [Game] Game: draw | moves=81 | defense=15 | winner=Draw
[2026-07-20 16:07:50.385] [DEBUG] [Game] Game: ai2_win | moves=28 | defense=10 | winner=AI2
[2026-07-20 16:07:50.477] [DEBUG] [Game] Game: ai1_win | moves=52 | defense=14 | winner=AI1
[2026-07-20 16:07:50.589] [DEBUG] [Game] Game: draw | moves=81 | defense=7 | winner=Draw
[2026-07-20 16:07:50.651] [DEBUG] [Game] Game: ai2_win | moves=29 | defense=9 | winner=AI2
[2026-07-20 16:07:50.770] [DEBUG] [Game] Game: draw | moves=81 | defense=7 | winner=Draw
[2026-07-20 16:07:50.855] [DEBUG] [Game] Game: ai2_win | moves=39 | defense=6 | winner=AI2
[2026-07-20 16:07:50.947] [DEBUG] [Game] Game: ai2_win | moves=48 | defense=18 | winner=AI2
[2026-07-20 16:07:51.056] [DEBUG] [Game] Game: draw | moves=81 | defense=5 | winner=Draw
[2026-07-20 16:07:51.120] [DEBUG] [Game] Game: ai2_win | moves=28 | defense=3 | winner=AI2
[2026-07-20 16:07:51.227] [DEBUG] [Game] Game: ai2_win | moves=69 | defense=7 | winner=AI2
[2026-07-20 16:07:51.328] [DEBUG] [Game] Game: ai1_win | moves=49 | defense=6 | winner=AI1
[2026-07-20 16:07:51.403] [DEBUG] [Game] Game: ai1_win | moves=34 | defense=9 | winner=AI1
[2026-07-20 16:07:51.511] [DEBUG] [Game] Game: draw | moves=81 | defense=13 | winner=Draw
[2026-07-20 16:07:51.532] [DEBUG] [Game] Game: ai2_win | moves=9 | defense=2 | winner=AI2
[2026-07-20 16:07:51.596] [DEBUG] [Game] Game: ai2_win | moves=28 | defense=7 | winner=AI2
[2026-07-20 16:07:51.626] [DEBUG] [Game] Game: ai2_win | moves=11 | defense=2 | winner=AI2
[2026-07-20 16:07:51.669] [DEBUG] [Game] Game: ai2_win | moves=22 | defense=3 | winner=AI2
[2026-07-20 16:07:51.741] [DEBUG] [Game] Game: ai2_win | moves=27 | defense=4 | winner=AI2
[2026-07-20 16:07:51.801] [DEBUG] [Game] Game: ai2_win | moves=24 | defense=6 | winner=AI2
[2026-07-20 16:07:51.827] [DEBUG] [Game] Game: ai2_win | moves=9 | defense=2 | winner=AI2
[2026-07-20 16:07:51.911] [DEBUG] [Game] Game: ai2_win | moves=40 | defense=9 | winner=AI2
[2026-07-20 16:07:52.027] [DEBUG] [Game] Game: draw | moves=81 | defense=11 | winner=Draw
[2026-07-20 16:07:52.121] [DEBUG] [Game] Game: ai2_win | moves=48 | defense=8 | winner=AI2
[2026-07-20 16:07:52.167] [DEBUG] [Game] Game: ai2_win | moves=17 | defense=3 | winner=AI2
[2026-07-20 16:07:52.252] [DEBUG] [Game] Game: ai1_win | moves=43 | defense=11 | winner=AI1
[2026-07-20 16:07:52.350] [DEBUG] [Game] Game: ai2_win | moves=53 | defense=6 | winner=AI2
[2026-07-20 16:07:52.419] [DEBUG] [Game] Game: ai1_win | moves=31 | defense=12 | winner=AI1
[2026-07-20 16:07:52.534] [DEBUG] [Game] Game: draw | moves=81 | defense=3 | winner=Draw
[2026-07-20 16:07:52.618] [DEBUG] [Game] Game: ai2_win | moves=38 | defense=2 | winner=AI2
[2026-07-20 16:07:52.649] [DEBUG] [Game] Game: ai2_win | moves=13 | defense=2 | winner=AI2
[2026-07-20 16:07:52.704] [DEBUG] [Game] Game: ai1_win | moves=21 | defense=4 | winner=AI1
[2026-07-20 16:07:52.763] [DEBUG] [Game] Game: ai2_win | moves=27 | defense=7 | winner=AI2
[2026-07-20 16:07:52.837] [DEBUG] [Game] Game: ai2_win | moves=36 | defense=9 | winner=AI2
[2026-07-20 16:07:52.889] [DEBUG] [Game] Game: ai2_win | moves=21 | defense=3 | winner=AI2
[2026-07-20 16:07:52.998] [DEBUG] [Game] Game: draw | moves=81 | defense=11 | winner=Draw
[2026-07-20 16:07:53.110] [DEBUG] [Game] Game: draw | moves=81 | defense=10 | winner=Draw
[2026-07-20 16:07:53.186] [DEBUG] [Game] Game: ai2_win | moves=40 | defense=12 | winner=AI2
[2026-07-20 16:07:53.307] [DEBUG] [Game] Game: draw | moves=81 | defense=7 | winner=Draw
[2026-07-20 16:07:53.402] [DEBUG] [Game] Game: ai2_win | moves=44 | defense=11 | winner=AI2
[2026-07-20 16:07:53.518] [DEBUG] [Game] Game: draw | moves=81 | defense=5 | winner=Draw
[2026-07-20 16:07:53.632] [DEBUG] [Game] Game: draw | moves=81 | defense=15 | winner=Draw
[2026-07-20 16:07:53.733] [DEBUG] [Game] Game: ai2_win | moves=59 | defense=6 | winner=AI2
[2026-07-20 16:07:53.802] [DEBUG] [Game] Game: ai2_win | moves=26 | defense=2 | winner=AI2
[2026-07-20 16:07:53.876] [DEBUG] [Game] Game: ai1_win | moves=36 | defense=8 | winner=AI1
[2026-07-20 16:07:53.961] [DEBUG] [Game] Game: ai2_win | moves=42 | defense=7 | winner=AI2
[2026-07-20 16:07:54.076] [DEBUG] [Game] Game: draw | moves=81 | defense=4 | winner=Draw
[2026-07-20 16:07:54.203] [DEBUG] [Game] Game: draw | moves=81 | defense=3 | winner=Draw
[2026-07-20 16:07:54.298] [DEBUG] [Game] Game: ai2_win | moves=47 | defense=3 | winner=AI2
[2026-07-20 16:07:54.398] [DEBUG] [Game] Game: ai2_win | moves=46 | defense=10 | winner=AI2
[2026-07-20 16:07:54.451] [DEBUG] [Game] Game: ai2_win | moves=25 | defense=11 | winner=AI2
[2026-07-20 16:07:54.535] [DEBUG] [Game] Game: ai1_win | moves=37 | defense=5 | winner=AI1
[2026-07-20 16:07:54.635] [DEBUG] [Game] Game: ai2_win | moves=55 | defense=14 | winner=AI2
[2026-07-20 16:07:54.758] [DEBUG] [Game] Game: draw | moves=81 | defense=2 | winner=Draw
[2026-07-20 16:07:54.844] [DEBUG] [Game] Game: ai1_win | moves=36 | defense=2 | winner=AI1
[2026-07-20 16:07:54.971] [DEBUG] [Game] Game: draw | moves=81 | defense=1 | winner=Draw
[2026-07-20 16:07:55.034] [DEBUG] [Game] Game: ai2_win | moves=27 | defense=6 | winner=AI2
[2026-07-20 16:07:55.108] [DEBUG] [Game] Game: ai1_win | moves=31 | defense=8 | winner=AI1
[2026-07-20 16:07:55.193] [DEBUG] [Game] Game: ai1_win | moves=34 | defense=4 | winner=AI1
[2026-07-20 16:07:55.315] [DEBUG] [Game] Game: draw | moves=81 | defense=6 | winner=Draw
[2026-07-20 16:07:55.352] [DEBUG] [Game] Game: ai1_win | moves=14 | defense=2 | winner=AI1
[2026-07-20 16:07:55.475] [DEBUG] [Game] Game: draw | moves=81 | defense=6 | winner=Draw
[2026-07-20 16:07:55.591] [DEBUG] [Game] Game: draw | moves=81 | defense=11 | winner=Draw
[2026-07-20 16:07:55.686] [DEBUG] [Game] Game: ai2_win | moves=42 | defense=11 | winner=AI2
[2026-07-20 16:07:55.710] [DEBUG] [Game] Game: ai2_win | moves=9 | defense=2 | winner=AI2
[2026-07-20 16:07:55.831] [DEBUG] [Game] Game: draw | moves=81 | defense=7 | winner=Draw
[2026-07-20 16:07:55.950] [DEBUG] [Game] Game: draw | moves=81 | defense=6 | winner=Draw
[2026-07-20 16:07:56.012] [DEBUG] [Game] Game: ai1_win | moves=23 | defense=2 | winner=AI1
[2026-07-20 16:07:56.060] [DEBUG] [Game] Game: ai2_win | moves=17 | defense=2 | winner=AI2
[2026-07-20 16:07:56.117] [DEBUG] [Game] Game: ai1_win | moves=29 | defense=12 | winner=AI1
[2026-07-20 16:07:56.223] [DEBUG] [Game] Game: ai2_win | moves=49 | defense=2 | winner=AI2
[2026-07-20 16:07:56.347] [DEBUG] [Game] Game: draw | moves=81 | defense=6 | winner=Draw
[2026-07-20 16:07:56.464] [DEBUG] [Game] Game: draw | moves=81 | defense=4 | winner=Draw
[2026-07-20 16:07:56.544] [DEBUG] [Game] Game: ai2_win | moves=34 | defense=7 | winner=AI2
[2026-07-20 16:07:56.655] [DEBUG] [Game] Game: draw | moves=81 | defense=5 | winner=Draw
[2026-07-20 16:07:56.745] [DEBUG] [Game] Game: ai1_win | moves=37 | defense=3 | winner=AI1
[2026-07-20 16:07:56.820] [DEBUG] [Game] Game: ai2_win | moves=31 | defense=4 | winner=AI2
[2026-07-20 16:07:56.868] [DEBUG] [Game] Game: ai1_win | moves=19 | defense=4 | winner=AI1
